customer_id,first_name,last_name,email,phone,address,city,state,zip_code,registration_date
1,Miguel,Ford,frederick07@example.net,(853)315-7507x9377,4964 Cheryl Parkways Apt. 668,Georgehaven,DE,26838,2025-07-23
2,Jennifer,Wallace,wholmes@example.net,763.242.9501x13751,65831 Daniels Hollow Apt. 679,South Johnburgh,IL,59070,2024-03-07
3,Zachary,Collier,floydjennifer@example.net,001-982-814-0324x210,573 Murray Loaf Apt. 968,Porterstad,TN,95983,2025-08-29
4,Terri,Barrett,garcianancy@example.com,779-736-5561x5335,19564 Wong Glens Apt. 136,Ericshire,WV,66141,2024-10-02
5,Christopher,Harris,rileyoscar@example.org,+1-673-711-8908x9330,46307 Jessica Ferry,Billmouth,AL,28197,2024-08-02
6,Mercedes,Baker,merrittdebra@example.com,338-843-0493x103,1196 Lopez Via Suite 736,West Larry,DC,54410,2024-08-03
7,John,Powell,elizabethbaker@example.com,305.298.6985,131 Harrison Tunnel Apt. 292,Travischester,VT,69264,2025-04-26
8,Whitney,White,jeremy24@example.net,513.239.1709x496,7014 Danielle Island,North Shane,VA,89730,2024-06-18
9,David,Kennedy,alexis94@example.com,4753927232,1131 Young Rapids,Wellsmouth,NJ,08024,2024-09-17
10,Angela,White,heather75@example.org,9674140050,64880 Hoffman Passage,Port Thomasstad,WY,87642,2024-04-29
11,Robert,Velez,amalone@example.net,938.875.7005x020,1334 Johnson Street Apt. 753,Walkerhaven,NC,47903,2025-01-29
12,Hannah,Bell,cpugh@example.org,001-486-532-9321x106,83547 Huerta Shoals,North Maryland,NH,14511,2025-08-18
13,Jay,Snyder,samuelmonroe@example.org,842-772-4899,68401 Brent Mews Suite 722,West Michele,WI,06684,2024-01-08
14,Shannon,Norris,bakerjames@example.org,225-232-7260,6776 Gray Keys,East Brianborough,MS,69800,2025-09-30
15,Cassandra,Lee,hebertmelinda@example.net,001-548-814-1416x75290,91538 David Ford,Kathleenmouth,ME,45237,2024-03-20
16,Nicholas,Figueroa,andrew13@example.com,(964)450-4521x80706,093 Robin Islands Suite 097,Gordonport,NY,69117,2024-05-24
17,James,Ingram,michaelballard@example.net,2515302857,874 Vargas Mountain Suite 252,East Victoriafurt,VA,37300,2025-11-06
18,Joseph,Martinez,cohendavid@example.com,001-844-284-2922,973 Ramsey Streets,Port Ryan,MD,84543,2024-09-27
19,Susan,Cruz,davidjohnson@example.org,527-904-7917x93590,35322 Pierce Rapid Suite 205,North Kathleenfurt,WA,30747,2025-06-13
